Municipality,Residents 2020-10-24,Count 2020-10-24,Residents 2020-10-31,Count 2020-10-31,Residents 2020-11-07,Count 2020-11-07,Residents 2020-11-14,Count 2020-11-14,Residents 2020-11-21,Count 2020-11-21,Residents 2020-11-28,Count 2020-11-28,Residents 2020-12-05,Count 2020-12-05,Residents 2020-12-12,Count 2020-12-12,Residents 2020-12-19,Count 2020-12-19,Residents 2020-12-26,Count 2020-12-26,Residents 2021-01-02,Count 2021-01-02,Residents 2021-01-09,Count 2021-01-09,Residents 2021-01-16,Count 2021-01-16,Residents 2021-01-23,Count 2021-01-23,Residents 2021-01-30,Count 2021-01-30,Residents 2021-02-06,Count 2021-02-06,Residents 2021-02-13,Count 2021-02-13,Residents 2021-02-20,Count 2021-02-20,Residents 2021-02-27,Count 2021-02-27
Franklin,,,3.0,1.0,,,,,,,,,3.0,1.0,9.0,3.0,15.0,5.0,6.0,2.0,,,,,,,,,3.0,1.0,9.0,3.0,,,,,6.0,2.0
Gardner,,,,,,,14.0,3.0,24.0,5.0,4.0,1.0,39.0,8.0,9.0,2.0,64.0,13.0,44.0,9.0,4.0,1.0,9.0,2.0,14.0,3.0,24.0,5.0,,,24.0,5.0,24.0,5.0,,,,
Gilbertville,,,,,,,,,,,,,,,,,,,86.0,1.0,434.0,5.0,,,,,,,,,,,,,,,,
Gloucester,,,,,,,6.0,2.0,3.0,1.0,,,,,,,6.0,2.0,,,,,,,,,,,,,,,,,,,3.0,1.0
Grafton,,,,,,,5.0,1.0,,,,,,,5.0,1.0,,,,,,,,,,,,,,,,,5.0,1.0,,,,
Granby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,1.0
Great Barrington,,,,,,,,,28.0,2.0,,,,,,,,,,,14.0,1.0,,,,,,,,,14.0,1.0,28.0,2.0,,,14.0,1.0
Greenfield,,,,,5.0,1.0,5.0,1.0,17.0,3.0,,,17.0,3.0,11.0,2.0,5.0,1.0,,,,,,,5.0,1.0,,,5.0,1.0,,,,,,,,
Groveland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,1.0,,,,
Hadley,,,,,,,,,19.0,1.0,,,,,19.0,1.0,19.0,1.0,,,,,,,,,,,,,,,,,,,,
Halifax,,,,,,,,,,,,,,,13.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Hanover,,,,,,,,,7.0,1.0,14.0,2.0,14.0,2.0,,,14.0,2.0,,,7.0,1.0,,,,,7.0,1.0,7.0,1.0,,,,,,,7.0,1.0
Hanson,,,,,,,,,9.0,1.0,,,9.0,1.0,9.0,1.0,,,,,,,,,,,,,9.0,1.0,,,,,,,,
Hardwick,,,,,,,,,,,,,,,33.0,1.0,,,,,,,,,,,33.0,1.0,33.0,1.0,,,,,,,,
Harvard,,,,,,,,,,,,,,,,,,,15.0,1.0,,,,,,,,,,,,,,,,,,
Harwich,,,,,,,,,8.0,1.0,8.0,1.0,,,,,,,8.0,1.0,,,8.0,1.0,,,,,,,,,,,,,,
Harwich Port,,,,,,,,,,,57.0,1.0,,,,,,,,,,,57.0,1.0,,,115.0,2.0,,,,,,,,,,
Haverhill,3.0,2.0,3.0,2.0,21.0,13.0,32.0,20.0,4.0,3.0,6.0,4.0,,,8.0,5.0,6.0,4.0,,,,,,,,,3.0,2.0,,,1.0,1.0,,,,,,
Hingham,4.0,1.0,,,,,,,,,,,,,,,18.0,4.0,,,,,,,4.0,1.0,9.0,2.0,,,,,,,4.0,1.0,,
Holbrook,,,,,,,,,9.0,1.0,,,,,,,18.0,2.0,18.0,2.0,,,9.0,1.0,,,,,,,,,9.0,1.0,,,,
Holden,,,,,,,,,,,,,,,,,,,,,5.0,1.0,,,,,,,,,5.0,1.0,,,,,,
Holliston,,,,,,,,,,,,,,,,,,,7.0,1.0,,,,,7.0,1.0,,,,,,,,,,,,
Holyoke,,,,,,,2.0,1.0,12.0,5.0,,,22.0,9.0,27.0,11.0,5.0,2.0,,,,,,,,,,,,,2.0,1.0,,,,,,
Hopedale,,,,,,,,,,,16.0,1.0,,,16.0,1.0,,,16.0,1.0,,,,,,,,,16.0,1.0,,,,,,,,
Hopkinton,,,,,13.0,2.0,6.0,1.0,6.0,1.0,,,6.0,1.0,6.0,1.0,13.0,2.0,,,,,,,,,6.0,1.0,,,,,6.0,1.0,,,,
Housatonic,,,,,,,,,,,,,,,,,,,132.0,1.0,,,,,,,,,,,,,,,,,,
